"longitude";"latitude"
-115.667;33.116
-115.651;33.116
-115.709;33.094
-115.705;33.092
-115.701;33.092
-115.709;33.095
-115.706;33.094
-115.71;33.095
-115.704;33.095
-115.704;33.094
-115.702;33.095
-115.703;33.095
-115.743;33.102
-115.749;33.094
-115.722;33.098
-115.714;33.094
-115.708;33.095
-115.82;33.136
-115.822;33.143
-115.855;33.139
-115.799;33.149
-115.809;33.164
-115.801;33.14
-115.817;33.148
-115.828;33.05
-115.816;33.147
-115.781;33.125
-115.786;33.126
-115.782;33.162
-115.8;33.127
-115.793;33.119
-115.78;33.144
-115.784;33.138
-115.782;33.14
-115.782;33.148
-115.772;33.136
-115.783;33.139
-115.784;33.144
-115.781;33.142
-115.814;33.133
-115.778;33.14
-115.81;33.157
-115.822;33.153
-115.848;33.155
-115.813;33.145
-115.813;33.151
-115.814;33.154
-115.812;33.132
-115.795;33.138
-115.844;33.137
-115.842;33.144
-115.858;33.144
-115.797;33.155
-115.789;33.153
-115.705;33.097
-115.707;33.095
-115.702;33.098
-115.706;33.095
-115.696;33.097
-115.692;33.115
-115.823;33.151
-115.83;33.151
-115.83;33.153
-115.827;33.152
-115.858;33.164
-115.817;33.119
-115.796;33.155
-115.79;33.155
-115.823;33.149
-115.812;33.15
-115.812;33.149
-115.795;33.155
-115.699;33.03
-115.701;33.082
-115.7;33.109
-115.713;33.106
-115.708;33.1
-115.69;33.092
-115.708;33.096
-115.846;33.156
-115.822;33.149
-115.83;33.155
-115.811;33.151
-115.818;33.147
-115.835;33.139
-115.809;33.162
-115.835;33.148
-115.763;33.086
-115.7;33.093
-115.704;33.091
-115.707;33.096
-115.712;33.105
-115.712;33.097
-115.71;33.096
-115.712;33.099
-115.715;33.098
-115.71;33.097
-115.711;33.096
-115.713;33.096
-115.707;33.094
-115.712;33.095
-115.818;33.152
-115.824;33.141
-115.814;33.147
-115.817;33.155
-115.818;33.155
-115.741;33.069
-115.66;33.026
-115.698;33.092
-115.704;33.089
-115.699;33.094
-115.705;33.094
-115.711;33.094
-115.678;33.103
-115.709;33.096
-115.717;33.097
-115.732;33.092
-115.706;33.093
-115.684;33.044
-115.82;33.15
-115.822;33.15
-115.811;33.148
-115.784;33.128
-115.813;33.159
-115.814;33.159
-115.692;33.071
-115.695;33.08
-115.706;33.085
-115.693;33.102
-115.697;33.074
-115.612;33.097
-115.801;33.154
-115.784;33.158
-115.799;33.153
-115.799;33.154
-115.8;33.154
-115.783;33.157
-115.797;33.157
-115.789;33.139
-115.78;33.141
-115.713;33.124
-115.792;33.138
-115.787;33.142
-115.755;33.23
-115.784;33.17
-115.785;33.146
-115.795;33.143
-115.787;33.141
-115.802;33.156
-115.811;33.153
-115.83;33.134
-115.768;33.156
-115.805;33.14
-115.814;33.139
-115.797;33.156
-115.799;33.155
-115.779;33.141
-115.787;33.146
-115.79;33.138
-115.799;33.137
-115.78;33.142
-115.773;33.142
-115.713;33.097
-115.712;33.096
-115.723;33.091
-115.67;33.095
-115.653;33.065
-115.651;33.065
-115.681;33.064
-115.813;33.133
-115.816;33.132
-115.832;33.125
-115.806;33.143
-115.836;33.145
-115.828;33.181
-115.789;33.145
-115.796;33.156
-115.701;33.093
-115.707;33.091
-115.709;33.097
-115.701;33.096
-115.693;33.095
-115.725;33.099
-115.714;33.097
-115.713;33.095
-115.715;33.096
-115.589;33.09
-115.617;33.125
-115.801;33.15
-115.825;33.152
-115.812;33.151
-115.835;33.151
-115.837;33.152
-115.82;33.153
-115.827;33.143
-115.835;33.147
-115.813;33.15
-115.796;33.151
-115.713;33.094
-115.726;33.092
-115.725;33.098
-115.712;33.09
-115.686;33.091
-115.711;33.092
-115.631;33.07
-116.009;33.141
-115.966;33.093
-115.79;33.141
-115.793;33.13
-115.813;33.14
-115.782;33.146
-115.775;33.179
-115.816;33.135
-115.82;33.154
-115.8;33.153
-115.842;33.141
-115.828;33.132
-115.787;33.143
-115.792;33.151
-115.689;33.096
-115.7;33.099
-115.691;33.097
-115.7;33.087
-115.702;33.093
-115.673;33.171
-115.82;33.149
-115.794;33.143
-115.819;33.147
-115.809;33.15
-115.796;33.137
-115.821;33.15
-115.781;33.141
-115.786;33.156
-115.8;33.156
-115.71;33.086
-115.712;33.087
-115.708;33.094
-115.798;33.156
-115.705;33.091
-115.708;33.093
-115.698;33.093
-115.747;33.111
-115.815;33.153
-115.818;33.146
-115.684;33.059
-115.705;33.067
-115.691;33.065
-115.696;33.063
-115.791;33.159
-115.791;33.154
-115.796;33.153
-115.8;33.155
-115.801;33.156
-115.688;33.095
-115.694;33.09
-115.687;33.094
-115.694;33.095
-115.686;33.096
-115.699;33.018
-115.7;33.037
-115.704;33.075
-115.686;33.068
-115.685;33.061
-115.702;33.063
-115.712;33.082
-115.64;33.065
-115.661;33.076
-115.694;33.072
-115.671;33.075
-115.696;33.074
-115.69;33.075
-115.708;33.075
-115.706;33.078
-115.722;33.032
-115.683;33.083
-115.69;33.095
-115.69;33.094
-115.701;33.094
-115.687;33.095
-115.687;33.099
-115.687;33.096
-115.688;33.096
-115.687;33.097
-115.637;33.099
-115.645;33.1
-115.657;33.101
-115.618;33.082
-115.608;33.099
-115.602;33.081
-115.708;33.092
-115.601;33.227
-115.601;33.228
-115.596;33.228
-115.607;33.226
-115.601;33.232
-115.588;33.224
-115.617;33.224
-115.594;33.228
-115.6;33.224
-115.492;32.963
-115.487;32.962
-115.49;32.963
-115.482;32.962
-115.484;32.967
-115.481;32.963
-115.479;32.963
-115.488;32.982
-115.699;33.039
-115.617;33.111
-115.663;33.153
-115.638;33.122
-115.612;33.121
-115.492;33.091
-115.56;33.152
-115.603;33.13
-115.713;33.092
-115.609;33.129
-115.61;33.129
-115.615;33.131
-115.609;33.125
-115.409;33.036
-115.39;33.042
-115.388;33.043
-115.388;33.044
-115.389;33.043
-115.488;33.074
-115.485;33.074
-115.483;33.074
-115.483;33.072
-115.49;33.074
-115.489;33.068
-115.485;33.072
-115.469;33.069
-115.507;33.063
-115.608;32.956
-115.6;32.96
-115.607;32.96
-115.614;32.972
-115.692;33.059
-115.685;33.05
-115.699;33.062
-115.712;33.08
-115.684;33.092
-115.697;33.087
-115.736;33.044
-115.608;33.065
-115.598;33.078
-115.604;33.079
-115.603;33.082
-115.603;33.081
-115.567;32.959
-115.477;32.976
-115.452;32.978
-115.407;33.045
-115.406;33.043
-115.409;33.04
-115.398;33.042
-115.396;33.04
-115.338;33.02
-115.335;32.91
-115.335;32.914
-115.357;32.931
-115.338;32.911
-115.475;32.913
-115.489;32.944
-115.386;33.074
-115.383;33.081
-115.39;33.074
-115.417;33.13
-115.455;33.106
-115.427;33.108
-115.425;33.111
-115.424;33.107
-115.423;33.105
-115.432;33.105
-115.43;33.106
-115.421;33.108
-115.67;33.072
-115.667;33.071
-115.79;33.143
-115.786;33.142
-115.775;33.143
-115.782;33.144
-115.81;33.148
-115.805;33.155
-115.811;33.139
-115.809;33.148
-115.838;33.138
-115.836;33.141
-115.832;33.135
-115.822;33.148
-115.83;33.13
-115.836;33.128
-115.83;33.136
-115.825;33.13
-115.812;33.136
-115.824;33.14
-115.824;33.139
-115.825;33.139
-115.82;33.139
-115.823;33.141
-115.826;33.149
-115.825;33.141
-115.831;33.141
-115.812;33.124
-115.817;33.128
-115.832;33.137
-115.602;33.079
-115.608;33.087
-115.586;33.084
-115.584;33.084
-115.594;33.077
-115.564;33.085
-115.508;33.098
-115.576;33.056
-115.58;33.075
-115.567;33.083
-115.586;33.077
-115.586;33.078
-115.582;33.076
-115.584;33.079
-115.629;33.069
-115.642;33.064
-115.63;33.06
-115.627;33.062
-115.628;33.06
-115.674;33.034
-115.69;33.052
-115.666;33.063
-115.547;33.074
-115.496;33.065
-115.532;33.072
-115.553;33.084
-115.487;33.073
-115.498;33.076
-115.526;33.105
-115.525;33.102
-115.519;33.118
-115.568;33.071
-115.572;33.074
-115.593;33.081
-115.591;33.085
-115.585;33.089
-115.586;33.09
-115.578;33.086
-115.595;33.083
-115.48;33.105
-115.543;33.07
-115.542;33.072
-115.6;33.072
-115.59;33.025
-115.57;33.056
-115.559;33.053
-115.561;33.051
-113.283;39.352
-113.283;39.353
-112.871;39.283
-112.719;39.234
-112.705;39.257
-112.672;39.249
-112.711;39.234
-112.673;39.242
-112.687;39.24
-112.684;39.23
-112.662;39.218
-112.679;39.244
-112.675;39.246
-112.669;39.241
-112.675;39.241
-112.67;39.241
-112.668;39.242
-112.67;39.239
-112.662;39.239
-112.659;39.246
-112.671;39.249
-112.667;39.261
-112.672;39.268
-112.73;39.247
-112.655;39.259
-112.693;39.246
-112.7;39.253
-112.734;39.258
-112.708;39.251
-112.676;39.256
-113.613;44.344
-113.607;44.358
-113.594;44.35
-113.621;44.365
-113.592;44.353
-113.598;44.353
-113.61;44.355
-113.585;44.353
-113.596;44.352
-113.614;44.36
-113.59;44.354
-113.6;44.357
-113.601;44.343
-113.601;44.347
-113.579;44.366
-113.659;44.402
-113.661;44.402
-113.668;44.399
-113.656;44.402
-113.642;44.392
-113.663;44.396
-113.648;44.423
-113.647;44.387
-113.657;44.401
-113.655;44.403
-113.654;44.399
-113.649;44.39
-113.665;44.403
-113.598;44.355
-113.604;44.351
-113.571;44.358
-113.595;44.355
-113.596;44.355
-113.593;44.354
-113.609;44.349
-113.61;44.357
-113.598;44.35
-113.601;44.356
-113.594;44.353
-113.654;44.279
-113.652;44.28
-113.662;44.286
-113.643;44.296
-113.663;44.283
-113.664;44.29
-113.668;44.283
-113.628;44.321
-113.614;44.361
-113.631;44.347
-113.612;44.35
-113.586;44.352
-113.591;44.354
-113.586;44.361
-113.597;44.349
-113.861;44.458
-113.796;44.413
-113.599;44.36
-113.603;44.35
-113.605;44.347
-113.58;44.347
-113.568;44.336
-113.607;44.349
-113.609;44.35
-113.643;44.305
-113.633;44.311
-113.598;44.357
-113.592;44.357
-113.59;44.357
-113.591;44.343
-113.607;44.353
-113.609;44.353
-113.588;44.359
-113.604;44.352
-113.595;44.353
-113.602;44.347
-113.602;44.34
-113.593;44.351
-113.594;44.351
-113.574;44.346
-113.626;44.368
-113.624;44.367
-113.626;44.38
-113.613;44.35
-113.639;44.36
-113.664;44.287
-113.664;44.298
-113.66;44.287
-113.586;44.349
-113.587;44.354
-113.602;44.358
-113.617;44.349
-113.596;44.358
-113.585;44.356
-113.596;44.357
-113.594;44.354
-113.598;44.358
-113.601;44.349
-113.581;44.345
-113.567;44.35
-113.587;44.396
-113.623;44.362
-113.656;44.301
-113.655;44.3
-113.659;44.296
-113.673;44.296
-113.672;44.296
-113.683;44.291
-113.656;44.296
-113.666;44.349
-113.572;44.363
-113.607;44.332
-113.602;44.346
-113.594;44.346
-113.612;44.353
-113.502;44.334
-113.597;44.355
-113.595;44.352
-113.601;44.355
-113.576;44.324
-113.625;44.353
-113.611;44.362
-113.619;44.355
-113.581;44.352
-113.597;44.335
-113.605;44.354
-113.597;44.347
-113.601;44.364
-113.615;44.365
-113.597;44.354
-113.584;44.355
-113.58;44.355
-113.58;44.359
-113.607;44.351
-113.61;44.347
-113.585;44.339
-113.611;44.353
-113.611;44.354
-113.604;44.354
-113.624;44.355
-113.604;44.348
-113.617;44.352
-113.624;44.349
-113.6;44.308
-113.622;44.348
-113.597;44.357
-113.602;44.354
-113.548;44.367
-113.577;44.35
-113.603;44.327
-113.604;44.336
-113.604;44.353
-113.62;44.353
-113.626;44.354
-113.608;44.354
-113.597;44.344
-113.599;44.346
-113.525;44.374
-113.607;44.352
-113.613;44.351
-113.6;44.347
-113.588;44.354
-113.594;44.366
-113.594;44.371
-113.603;44.36
