"longitude";"latitude"
-122.311618;37.889682
-121.770834;36.819434
-122.936317;49.108885
-118.044345;33.698476
-97.17683;26.13774
-106.707459;23.612231
-118.039169;33.698351
-122.311655;37.88999
-102.314944;21.953554
-114.078668;27.973217
-122.10753;37.45467
-97.033728;28.033349
-122.166321;36.987093
-96.381218;19.589493
-97.075502;27.860425
-117.105222;32.647306
-122.372611;37.737802
-117.116069;32.640078
-96.99165;28.127911
-118.043712;33.698545
-103.997929;20.899701
-121.712615;36.827565
-122.065989;37.430967
-97.415797;26.552601
-113.617963;31.342205
-101.16759;21.40767
-97.83341;28.009597
-122.455649;37.805265
-98.962719;34.29174
-122.140517;37.623623
-97.074405;27.830675
-121.789685;36.812327
-97.312464;27.466547
-117.221045;32.760358
-115.7;33.1
-97.123288;28.042983
-118.035736;33.692841
-115.626518;33.044084
-117.228157;32.751823
-97.034238;28.033289
-121.759181;37.893722
-121.774132;36.812868
-114.951324;31.884554
-122.388278;37.668367
-116.627909;31.765403
-81.285636;31.284169
-113.404939;31.2774
-122.454439;37.805257
-113.541478;29.039467
-81.288357;31.288087
-122.122533;37.476775
-122.641625;37.896598
-122.056603;36.949721
-122.315098;37.588332
-122.137165;37.62358
-122.67143;37.918398
-97.312609;27.467005
-119.372292;46.882911
-122.639489;37.895178
-123.855383;46.110095
-97.468644;32.650269
-123.068187;38.341762
-120.874938;35.304887
-110.418105;49.751666
-121.744095;36.821133
-122.374955;37.745709
-123.032387;49.741752
-113.493147;28.889856
-122.685995;37.93028
-97.406863;27.652525
-123.94463;46.104818
-121.787481;36.81705
-122.379692;37.713693
-123.855563;46.109907
-122.686008;37.930142
-112.302246;41.47566
-122.639511;37.895142
-123.947702;46.113834
-122.472;38.1065
-94.601283;29.471457
-116.530502;43.304167
-112.137078;41.485377
-122.315037;37.58721
-105.044691;40.429818
-122.509617;37.742086
-123.919384;46.014272
-121.746261;36.823938
-112.703438;48.098
-93.146038;29.763334
-122.315143;37.587148
-121.916124;36.596333
-122.097853;37.438494
-122.201515;37.712207
-119.508914;34.495647
-103.010978;36.500587
-117.11517;32.59829
-120.268048;39.76237
-116.623483;31.77416
-116.62341;31.77394
-121.803229;36.836843
-121.7903;36.812311
-121.789685;36.811571
-121.790446;36.81546
-116.607161;31.813669
-119.5;34.4
-116.606797;31.813744
-122.203074;37.708083
-101.852564;43.934981
-121.726647;38.011653
-122.454522;37.805522
-122.679605;37.924159
-101.85073;43.930534
-96.416155;28.461892
-121.346065;38.577687
-97.268248;27.509835
-122.457118;37.804441
-121.798015;36.77513
-116.652653;31.724496
-122.137588;37.623774
-121.618309;38.559249
-97.174293;26.137482
-112.224468;41.071536
-100.707982;29.388257
-122.240217;37.501862
-97.175016;26.137065
-121.788269;36.808248
-118.038826;33.693781
-121.787655;36.816917
-121.786753;36.806785
-112.231288;41.065756
-121.786977;36.816618
-122.388468;37.665614
-89.036336;13.35697
-122.455625;37.805388
-97.860177;27.46893
-122.142276;37.624215
-117.128522;32.554214
-121.79055;36.811512
-122.388247;37.668638
-121.775955;36.813308
-112.198785;41.082377
-97.270022;27.484543
-97.244553;27.534967
-119.437553;35.647317
-97.266083;27.511572
-116.617917;31.761442
-118.045102;33.699053
-97.269629;27.485664
-104.177933;36.014786
-97.354177;27.851208
-119.027935;37.940315
-122.943574;38.031387
-122.388846;37.668611
-116.622307;31.774578
-104.271159;29.264424
-94.728198;29.378529
-117.1295;32.555586
-121.789697;36.812885
-117.132288;32.562968
-97.272949;27.511749
-121.78515;36.803103
-111.132138;32.393443
-122.951019;38.030353
-123.939379;45.687303
-117.219443;32.760696
-124.220588;40.680225
-97.167175;27.72254
-122.679691;37.927848
-113.494576;28.885541
-117.130808;32.557753
-124.097391;40.861107
-117.592714;33.390137
-122.319374;37.590057
-122.129565;37.49697
-122.495517;37.622756
-122.457043;37.804562
-100.716207;25.05442
-116.620842;31.774627
-119.361992;34.315084
-122.958258;49.113695
-122.5081;37.737651
-117.128058;32.559472
-122.234402;37.50244
-121.862887;36.932173
-121.790399;36.812867
-121.788748;36.816848
-120.840767;35.343955
-109.825859;32.23139
-120.494928;36.850914
-118.046827;33.696207
-122.456532;37.805156
-117.125506;32.573428
-122.227771;37.501201
-121.122651;35.58508
-118.04934;33.702707
-115.614037;33.094857
-120.843451;35.349026
-122.063537;37.42911
-97.258648;27.507175
-117.125489;32.573513
-119.828817;34.417398
-120.841977;35.322045
-120.495023;36.850105
-120.864212;35.378728
-97.211905;27.621434
-122.147482;37.641192
-120.839696;35.34548
-122.097631;37.436703
-94.50956;29.510562
-121.784843;36.811863
-97.282112;27.462038
-121.763817;36.812047
-120.843367;35.345263
-97.312219;27.466636
-122.09849;37.439489
-119.520564;34.390727
-119.484075;34.37958
-122.291415;37.571113
-122.682953;37.922535
-119.519619;34.390829
-97.342396;27.861414
-121.863726;36.932971
-122.130681;37.494426
-121.787674;36.81689
-118.044341;33.700047
-122.107075;37.45963
-118.977264;34.059032
-119.51872;34.397412
-121.787765;36.817111
